actor_name,no_of_fb_likes,total_profit,total_imdb_score
Victor Zinck Jr.,91.0,0.0,3.8
CCH Pounder,1000.0,1.1448648316217707,6.357142857142857
Jim Varney,802.0,3.5467582125,7.550000000000001
Annie Golden,113.0,0.156582,6.6
Sook-Yin Lee,71.0,0.992189,6.5
Martin Donovan,206.0,0.5202774636904762,5.625
Nicole Beharie,898.0,0.6460423669230768,7.0600000000000005
Stephen McCole,11.0,0.0,6.9
Gabriel Bateman,300.0,12.250814839874412,6.15
Sofia Vassilieva,489.0,1.6395332666666667,7.4
Ming-Na Wen,2000.0,1.1801522689361024,5.3999999999999995
Freddie Jones,124.0,0.2361288888888889,6.8
Enrique Murciano,195.0,0.2587453125,6.7
Tony Doupe,361.0,0.11798,4.7
Vanessa Zima,42.0,3.353605925925926,7.1
Joan Allen,805.0,1.0151843190073815,7.281818181818182
Li Jun Li,444.0,0.0033666666666666667,5.8
Malone Thomas,56.0,0.0,5.5
Nick Robinson,724.0,0.9187626842105263,5.2
Adam Ratcliffe,606.0,0.23370736842105264,7.2
Holly Hunter,1000.0,1.6636917309768828,6.93076923076923
Kimberly Elise,637.0,2.0120026727272724,6.449999999999999
Lhakpa Dorji,0.0,0.28071944444444447,7.5
Rachel Dratch,399.0,1.1614400588235294,6.35
Jonathan Frakes,906.0,1.5335058029351396,6.75
James Callis,541.0,0.6695587,6.3
Samuel Davis,114.0,0.0,3.7
Claire Geare,78.0,5.4571906,6.8
Marian Marsh,12.0,0.0,7.8
J. Smith-Cameron,54.0,0.44287883333333333,6.6
Georgina Chapman,55.0,1.2094044,6.2
Yolande Moreau,44.0,0.0,2.9
Dove Cameron,570.0,0.0,5.9
Mindy Sterling,385.0,0.0,7.3
Heath Ledger,13000.0,2.2178204746884114,7.010000000000001
Adel Karam,4.0,0.8158392307692308,7.2
John Meillon,57.0,6.918114556962025,5.5
Hutch Dano,316.0,1.7440937333333333,6.7
Mary McDonnell,933.0,3.194799632723665,7.475
Kevin Nash,642.0,3.8032029154054054,5.85
Tamsin Egerton,621.25,0.0,5.4
Bruce Boxleitner,640.0,0.2298315892857143,6.3
Sandra Ellis Lafferty,523.0,2.0018005024725274,6.85
Rafe Spall,358.0,1.1702335047619048,7.340000000000001
Lupe Ontiveros,625.0,2.1956411007619048,5.960000000000001
Roger Cross,290.0,0.4697464318181818,5.449999999999999
James Corden,480.0,0.6374178621976568,5.985714285714286
Craig Hall,50.0,0.20512496,7.9
Victoria Smurfit,343.0,0.4427016923076923,5.5
Jordan Trovillion,163.0,0.006127789473684211,7.0
Jonathan Breck,270.0,2.907128261764706,5.85
Colin Farrell,0.0,0.0,5.6
Drew Waters,848.0,0.7946173111111111,5.1000000000000005
Kathleen Rose Perkins,180.0,0.0,6.8
John Witherspoon,723.0,2.9332366137306534,5.499999999999999
Deborah Foreman,190.0,2.5895526,6.2
Debra Monk,86.0,2.027443342857143,7.5
Silvio Muccino,29.0,0.0447756,6.5
Marri Savinar,471.0,0.0,6.2
Jason Beghe,297.0,0.995427,3.9
Robert Pattinson,21000.0,2.7299193378611974,6.2125
