director_name,no_of_fb_likes,total_profit,total_imdb_score
Howard Hawks,393.0,0.0,7.8
Jack Smight,22.0,0.0,6.1
Tom Putnam,15.0,0.49466666666666664,7.5
Joel Zwick,38.0,25.069022623076926,5.449999999999999
Kaige Chen,45.0,0.011136183333333334,5.6
Nimród Antal,190.0,0.6307325975308643,6.433333333333334
Roger Nygard,3.0,1.645792,7.0
Gerard Johnstone,3.0,0.0,6.8
Lee Daniels,304.0,4.465034044444445,7.266666666666667
Jake Kasdan,52.0,1.7244110991071429,6.125
Jerome Robbins,34.0,7.275,7.6
Jugal Hansraj,32.0,0.0,5.3
Dan Harris,24.0,0.057131,7.3
Sanaa Hamri,43.0,0.0,6.0
Peter Webber,73.0,0.27667947,6.6
Terry Gilliam,0.0,2.4898258928132853,7.328571428571428
Joel Paul Reisig,431.0,0.0,6.15
Peter Billingsley,0.0,1.8196035833333333,5.5
Yimou Zhang,611.0,0.03273644179573705,7.0875
Matt Dillon,0.0,0.018599485714285713,6.0
Ted Kotcheff,270.0,0.0,7.7
Leslie H. Martinson,7.0,0.0,6.5
Steve Taylor,14.0,0.4957533333333333,6.0
Georg Wilhelm Pabst,21.0,0.0,8.0
James Bidgood,0.0,0.3048518518518519,6.7
Rand Ravich,7.0,0.31337002941176473,5.3
Jason Bateman,0.0,0.7764027,6.7
George Clooney,0.0,1.8259640097142857,6.76
David Palmer,21.0,6.873275,6.1
Gavin Hood,151.0,0.7704885637878788,6.875
Mark Christopher,15.0,1.2749793076923077,5.8
Jack Perez,19.0,0.0,6.4
Shona Auerbach,11.0,0.0,7.8
Antonia Bird,61.0,0.17174608333333333,7.1
Bobby Farrelly,101.0,1.8069821777924968,6.130000000000001
Simeon Rice,6.0,0.0,5.5
Craig Gillespie,44.0,0.6409202691666667,6.9
Mark L. Lester,73.0,0.3227778229166667,6.324999999999999
David Robert Mitchell,421.0,7.3366505,6.9
Elizabeth Allen Rosenbaum,20.0,1.6468683666666668,6.0
Kiyoshi Kurosawa,62.0,0.094596,7.4
George Miller,658.5,1.3937988857745232,6.8
Steve Boyum,9.0,0.0897704375,3.95
Alexander Payne,729.0,3.116901933333333,7.42
Norman Jewison,278.0,1.413471395626748,6.7
Bradley Rust Gray,2.0,0.0,6.3
Matt Bettinelli-Olpin,14.0,2.2598524285714285,4.0
Justin Molotnikov,5.0,0.0,6.9
John Landis,644.0,9.996426936026937,7.0
John Hamburg,29.0,1.298902742063492,6.366666666666667
